key_with_zip,key_no_zip,address,city,zip,licensee,lat,lng
"2601 NE Louisiana Blvd., Albuquerque 87110.0","2601 NE Louisiana Blvd., Albuquerque",2601 NE Louisiana Blvd.,Albuquerque,87110.0,JOE WOJICK  JOE CALANDRA LLC,,
"2621 San Mateo Blvd NE Ste B, Albuquerque 87110.0","2621 San Mateo Blvd NE Ste B, Albuquerque",2621 San Mateo Blvd NE Ste B,Albuquerque,87110.0,PROHIBITION 37 - SAN MATEO RETAIL,,
"2621 Wyoming, Albuquerque 87112.0","2621 Wyoming, Albuquerque",2621 Wyoming,Albuquerque,87112.0,GH LLC,,
"2639 San Mateo Blvd, Albuquerque 87110.0","2639 San Mateo Blvd, Albuquerque",2639 San Mateo Blvd,Albuquerque,87110.0,RAW GREENS LLC - SAN MATEO RETAIL,,
"2714 4th St NW, Albuquerque 87107.0","2714 4th St NW, Albuquerque",2714 4th St NW,Albuquerque,87107.0,LA MOTA NEW MEXICO LLC - 4TH ST RETAIL,,
"2720 Central Ave Southeast F, Albuquerque 87106.0","2720 Central Ave Southeast F, Albuquerque",2720 Central Ave Southeast F,Albuquerque,87106.0,OCC ABQ LLC - Albuquerque,,
"2723 San Mateo Blvd NE, Suite B, Albuquerque 87110.0","2723 San Mateo Blvd NE, Suite B, Albuquerque","2723 San Mateo Blvd NE, Suite B",Albuquerque,87110.0,AMNESIA DISPENSARY  ACCESSORIES - Albuquerque,,
"2828 Carlisle NE, Albuquerque 87110.0","2828 Carlisle NE, Albuquerque",2828 Carlisle NE,Albuquerque,87110.0,GRANDE CULTIVATION COLLECTIVE LLC- CARLISLE MANUFACTURER,,
"2829 San Mateo Blvd NE, Albuquerque 87110.0","2829 San Mateo Blvd NE, Albuquerque",2829 San Mateo Blvd NE,Albuquerque,87110.0,THE NATURAL SOURCE LLC,,
"2910 San Mateo Blvd. NE, Albuquerque 87110.0","2910 San Mateo Blvd. NE, Albuquerque",2910 San Mateo Blvd. NE,Albuquerque,87110.0,URBAN WELLNESS - SAN MATEO DISPENSARY,,
"2925 Juan Tabo Blvd NE, Albuquerque 87112.0","2925 Juan Tabo Blvd NE, Albuquerque",2925 Juan Tabo Blvd NE,Albuquerque,87112.0,OCC ABQ LLC - Albuquerque,,
"2937 monte Vista Blvd ne, Albuquerque 87106.0","2937 monte Vista Blvd ne, Albuquerque",2937 monte Vista Blvd ne,Albuquerque,87106.0,CANNABIS INSTITUTE OF AMERICA - MONTE VISTA RTLR,,
"300 San Mateo Blvd SE, Albuquerque 87108.0","300 San Mateo Blvd SE, Albuquerque",300 San Mateo Blvd SE,Albuquerque,87108.0,H2H DISTRIBUTION LLC - SAN MATEO RETAILER,,
"300 Yale Blvd SE, Albuquerque 87106.0","300 Yale Blvd SE, Albuquerque",300 Yale Blvd SE,Albuquerque,87106.0,SMOKIN JOES LLC - YALE RETAIL,,
"3000 San Pedro Drive NE Suite B, Albuquerque 87110.0","3000 San Pedro Drive NE Suite B, Albuquerque",3000 San Pedro Drive NE Suite B,Albuquerque,87110.0,CANVAS ORGANICS ENTERPRISES LLC,,
"301 Central Ave NW, Albuquerque 87102.0","301 Central Ave NW, Albuquerque",301 Central Ave NW,Albuquerque,87102.0,MAD HATTER GROW LLC - CENTRAL RETAIL,,
"301 San Pedro NE, Albuquerque 87108.0","301 San Pedro NE, Albuquerque",301 San Pedro NE,Albuquerque,87108.0,MARCOS ANTONIO PAGAN CARTIGIANO - SAN PEDRO - RETAIL,,
"3094 San Mateo Blvd NE Ste 3100B, Albuquerque 87110.0","3094 San Mateo Blvd NE Ste 3100B, Albuquerque",3094 San Mateo Blvd NE Ste 3100B,Albuquerque,87110.0,MJ ALTA VIDA PRODUCTS LLC - SAN MATEO RETAIL,,
"3100 Suite B San Mateo Blvd, Albuquerque 87110.0","3100 Suite B San Mateo Blvd, Albuquerque",3100 Suite B San Mateo Blvd,Albuquerque,87110.0,MJ ALTA VIDA PRODUCTS LLC-3100 SAN MATEO RETAIL,,
"3107 San Mateo Blvd NE, Albuquerque 87110.0","3107 San Mateo Blvd NE, Albuquerque",3107 San Mateo Blvd NE,Albuquerque,87110.0,MAD HATTER GROW LLC - SAN MATEO BLVD RETAIL,,
"315 San Pedro NE Suite C, Albuquerque 87108.0","315 San Pedro NE Suite C, Albuquerque",315 San Pedro NE Suite C,Albuquerque,87108.0,OCC ABQ LLC- MANUFACTURER,,
"3228 Isleta Blvd SW, Albuquerque 87105.0","3228 Isleta Blvd SW, Albuquerque",3228 Isleta Blvd SW,Albuquerque,87105.0,LOVES CANNABIS- ISLETA RETAIL,,
"3250 Coors Blvd NW Suite A, Albuquerque 87120.0","3250 Coors Blvd NW Suite A, Albuquerque",3250 Coors Blvd NW Suite A,Albuquerque,87120.0,BUDDER PROS LLC - COORS BLVD RETAIL,,
"3313 4th St NW, Albuquerque 87107.0","3313 4th St NW, Albuquerque",3313 4th St NW,Albuquerque,87107.0,TAFOYA FARMS LLC/ RETAIL 4TH ST NW,,
"3320-A Coors Blvd NW, Albuquerque 87120.0","3320-A Coors Blvd NW, Albuquerque",3320-A Coors Blvd NW,Albuquerque,87120.0,HIGH DESERT RELIEF DISPENSARY - Albuquerque,,
