key_with_zip,key_no_zip,address,city,zip,licensee,lat,lng
"4001 Menaul Blvd NE, Albuquerque 87110.0","4001 Menaul Blvd NE, Albuquerque",4001 Menaul Blvd NE,Albuquerque,87110.0,FCI OF NEW MEXICO - MENAUL BLVD RETAIL,,
"4001 San Mateo Blvd NE Ste C, Albuquerque 87110.0","4001 San Mateo Blvd NE Ste C, Albuquerque",4001 San Mateo Blvd NE Ste C,Albuquerque,87110.0,FLY HIGH NEW MEXICO LLC- RETAIL SAN MATEO BLVD NE STE C,,
"401 Eubank Blvd SE Ste. D, Albuquerque 87123.0","401 Eubank Blvd SE Ste. D, Albuquerque",401 Eubank Blvd SE Ste. D,Albuquerque,87123.0,CANVAS ORGANICS ENTERPRISES LLC - EUBANK BLVD RETAIL,,
"4014 Central Avenue SE, Albuquerque 87108.0","4014 Central Avenue SE, Albuquerque",4014 Central Avenue SE,Albuquerque,87108.0,R. GREENLEAF ORGANICS DISPENSARY - Albuquerque,,
"405 Montano Rd NE, Albuquerque 87107.0","405 Montano Rd NE, Albuquerque",405 Montano Rd NE,Albuquerque,87107.0,URBAN WELLNESS - MONTANO DISPENSARY,,
"411 Rankin Rd NE, Albuquerque 87107.0","411 Rankin Rd NE, Albuquerque",411 Rankin Rd NE,Albuquerque,87107.0,SUNSHINE PHARM,,
"416 Yale Blvd SE Suite B, Albuquerque 87106.0","416 Yale Blvd SE Suite B, Albuquerque",416 Yale Blvd SE Suite B,Albuquerque,87106.0,CASACANNA LLC - YALE BLVD RETAILER,,
"417 Tramway Blvd. NE, Suite 2, Albuquerque 87123.0","417 Tramway Blvd. NE, Suite 2, Albuquerque","417 Tramway Blvd. NE, Suite 2",Albuquerque,87123.0,PURLIFE - ALBUQUERQUE RETAIL,,
"4200 4th St NW, Albuquerque 87107.0","4200 4th St NW, Albuquerque",4200 4th St NW,Albuquerque,87107.0,CANNACOLLC - 4TH ST RETAIL - Albuquerque,,
"4201 Central Avenue NW, Suite B-6, Albuquerque 87105.0","4201 Central Avenue NW, Suite B-6, Albuquerque","4201 Central Avenue NW, Suite B-6",Albuquerque,87105.0,EVEREST APOTHECARY- ALBUQUERQUE DISPENSARY,,
"4212 4th St NW, Albuquerque 87107.0","4212 4th St NW, Albuquerque",4212 4th St NW,Albuquerque,87107.0,CANNACOLLC - 4TH ST RETAIL - Albuquerque,,
"4411 Montano Rd NW, Suite F, Albuquerque 87120.0","4411 Montano Rd NW, Suite F, Albuquerque","4411 Montano Rd NW, Suite F",Albuquerque,87120.0,MOUNTAIN DESERT HEALTH,,
"4414 Menaul Blvd. NE, Albuquerque 87110.0","4414 Menaul Blvd. NE, Albuquerque",4414 Menaul Blvd. NE,Albuquerque,87110.0,R. GREENLEAF ORGANICS DISPENSARY - Albuquerque,,
"4501 4th Street NW, Suite F, Albuquerque 87107.0","4501 4th Street NW, Suite F, Albuquerque","4501 4th Street NW, Suite F",Albuquerque,87107.0,CRANIUM EXTRACTS LLC,,
"4505 Menaul Blvd NE, Albuquerque 87110.0","4505 Menaul Blvd NE, Albuquerque",4505 Menaul Blvd NE,Albuquerque,87110.0,EASTER LLC - MENAUL BLVD RETAIL,,
"4521 Central Ave NE, Albuquerque 87108.0","4521 Central Ave NE, Albuquerque",4521 Central Ave NE,Albuquerque,87108.0,SCORE 420/ RETAIL CENTRAL AVE NE,,
"4601 Paradise Blvd. Suite H, Albuquerque 87114.0","4601 Paradise Blvd. Suite H, Albuquerque",4601 Paradise Blvd. Suite H,Albuquerque,87114.0,URBAN WELLNESS - PARADISE DISPENSARY,,
"4602 Lomas Blvd NE, Albuquerque 87110.0","4602 Lomas Blvd NE, Albuquerque",4602 Lomas Blvd NE,Albuquerque,87110.0,ROAD RUNNER ORGANICS LLC - SAN MATEO BLVD RETAIL,,
"4606 McLeod NE, Albuquerque 87109.0","4606 McLeod NE, Albuquerque",4606 McLeod NE,Albuquerque,87109.0,GASD UP EXOTICS LLC/ RETAIL MCLEOD NE,,
"468 Isleta Blvd SW, Albuquerque 87105.0","468 Isleta Blvd SW, Albuquerque",468 Isleta Blvd SW,Albuquerque,87105.0,LTDM LLC - ISLETA BLVD RETAIL,,
"4701 Menaul Blvd NE, Albuquerque 87110.0","4701 Menaul Blvd NE, Albuquerque",4701 Menaul Blvd NE,Albuquerque,87110.0,BOUTIQUEBUDZ LLC - MENAUL RETAIL,,
"4711 Central Ave NW, Albuquerque 87105.0","4711 Central Ave NW, Albuquerque",4711 Central Ave NW,Albuquerque,87105.0,FIRST CLASS CANNABIS - CENTRAL RETAIL,,
"4711 Lomas Blvd NE, Albuquerque 87110.0","4711 Lomas Blvd NE, Albuquerque",4711 Lomas Blvd NE,Albuquerque,87110.0,LEAF AND FLOWER LLC/ RETAIL LOMAS BLVD NE,,
"4840-H Pan American East Freeway, Albuquerque 87109.0","4840-H Pan American East Freeway, Albuquerque",4840-H Pan American East Freeway,Albuquerque,87109.0,HIGH DESERT RELIEF DISPENSARY - Albuquerque,,
"5000 Jefferson NE B, Albuquerque 87109.0","5000 Jefferson NE B, Albuquerque",5000 Jefferson NE B,Albuquerque,87109.0,AMNESIA DISPENSARY  ACCESSORIES - Albuquerque,,
"5005 Menaul Blvd NE, Albuquerque 87110.0","5005 Menaul Blvd NE, Albuquerque",5005 Menaul Blvd NE,Albuquerque,87110.0,"HOUSE OF BLAZE, LLC - MENAUL RETAIL",,
"5007 Lomas Blvd NE, Albuquerque 87110.0","5007 Lomas Blvd NE, Albuquerque",5007 Lomas Blvd NE,Albuquerque,87110.0,HIGH TIDES DISPENSARY LLC - LOMAS RETAIL,,
"5016 Lomas Blvd NE, Albuquerque 87108.0","5016 Lomas Blvd NE, Albuquerque",5016 Lomas Blvd NE,Albuquerque,87108.0,DISPENSARY NEAR ME/ RETAIL LOMAS BLVD NE,,
"5115 Coors Blvd. NW, Albuquerque 87120.0","5115 Coors Blvd. NW, Albuquerque",5115 Coors Blvd. NW,Albuquerque,87120.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  COORS BLVD RETAIL - Albuquerque,,
"516 Chama St NE Ste B, Albuquerque 87108.0","516 Chama St NE Ste B, Albuquerque",516 Chama St NE Ste B,Albuquerque,87108.0,NEW HEIGHTS DISPENSARY INC/ RETAIL CHAMA ST NE STE B,,
"520 Airport Blvd NW, Albuquerque 87121.0","520 Airport Blvd NW, Albuquerque",520 Airport Blvd NW,Albuquerque,87121.0,LINCOLN WATFORD LLC - RETAIL,,
"5201 Ouray NW, Albuquerque 87120.0","5201 Ouray NW, Albuquerque",5201 Ouray NW,Albuquerque,87120.0,R. GREENLEAF ORGANICS DISPENSARY - Albuquerque,,
"5212 4th St NW Suite A, Albuquerque 87107.0","5212 4th St NW Suite A, Albuquerque",5212 4th St NW Suite A,Albuquerque,87107.0,URBAN WELLNESS - 4TH ST RETAIL,,
"5231 San Mateo Blvd NE, Albuquerque 87109.0","5231 San Mateo Blvd NE, Albuquerque",5231 San Mateo Blvd NE,Albuquerque,87109.0,NO MIDS LLC - SAN MATEO RETAIL,,
"5231 San Mateo Blvd NE Suite A, Albuquerque 87109.0","5231 San Mateo Blvd NE Suite A, Albuquerque",5231 San Mateo Blvd NE Suite A,Albuquerque,87109.0,BMD LLC-SAN MATEO BLVD NE SUITE A RETAIL,,
"5401 Lomas Blvd Ste A, Albuquerque 87110.0","5401 Lomas Blvd Ste A, Albuquerque",5401 Lomas Blvd Ste A,Albuquerque,87110.0,505 FARMS ABQ LLC - LOMAS BLVD RETAIL,,
"5541 Midway Park Blvd NE, Albuquerque 87109.0","5541 Midway Park Blvd NE, Albuquerque",5541 Midway Park Blvd NE,Albuquerque,87109.0,CRAV LLC/RETAIL MIDWAY PARK BLVD NE,,
"5700 4th Street NW, Albuquerque 87109.0","5700 4th Street NW, Albuquerque",5700 4th Street NW,Albuquerque,87109.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  4TH ST RETAIL,,
"5704 Lomas Blvd NE, Albuquerque 87110.0","5704 Lomas Blvd NE, Albuquerque",5704 Lomas Blvd NE,Albuquerque,87110.0,RELEAF CANNABIS CO - LOMAS BLVD RETAIL,,
"5737 Menaul Blvd NE, Albuquerque 87110.0","5737 Menaul Blvd NE, Albuquerque",5737 Menaul Blvd NE,Albuquerque,87110.0,ENCHANTED BOTANICALS LLC - MENAUL BLVD MANUFACTURER,,
"5809 Juan Tabo, Albuquerque 87111.0","5809 Juan Tabo, Albuquerque",5809 Juan Tabo,Albuquerque,87111.0,EVEREST APOTHECARY - RETAIL,,
"5926 2nd Street NW, Albuquerque 87107.0","5926 2nd Street NW, Albuquerque",5926 2nd Street NW,Albuquerque,87107.0,KITE LLC DBA THRIVE CRAFT CANNABIS CO - RETAIL/CONSUMPTION 2ND STREET NW,,
"6005 Coronado Ave NE, Albuquerque 87109.0","6005 Coronado Ave NE, Albuquerque",6005 Coronado Ave NE,Albuquerque,87109.0,THE VERDES FOUNDATION  6005 CORONADO PRODUCER,,
"6010 Coors Blvd Ste 3, Albuquerque 87120.0","6010 Coors Blvd Ste 3, Albuquerque",6010 Coors Blvd Ste 3,Albuquerque,87120.0,EVEREST APOTHECARY - Albuquerque,,
"6015 4th St NW, Albuquerque 87107.0","6015 4th St NW, Albuquerque",6015 4th St NW,Albuquerque,87107.0,LEAF AND FLOWER LLC-4TH ST RETAIL,,
"6016 Isleta Blvd SW, Albuquerque 87105.0","6016 Isleta Blvd SW, Albuquerque",6016 Isleta Blvd SW,Albuquerque,87105.0,PAJARITO HEALING HERB LLC/ RETAIL ISLETA BLVD SW,,
"6200 Montgomery Blvd NE, Albuquerque 87111.0","6200 Montgomery Blvd NE, Albuquerque",6200 Montgomery Blvd NE,Albuquerque,87111.0,VICE CANNABIS LLC,,
"6220 San Mateo BLVD, Albuquerque 87190.0","6220 San Mateo BLVD, Albuquerque",6220 San Mateo BLVD,Albuquerque,87190.0,URBAN WELLNESS - ACADEMY DISPENSARY,,
"629 Amherst Dr NE, Albuquerque 87106.0","629 Amherst Dr NE, Albuquerque",629 Amherst Dr NE,Albuquerque,87106.0,LEMON CANNABIS CO - AMHERST RETAIL,,
"6300 Montano Rd NW, Albuquerque 87120.0","6300 Montano Rd NW, Albuquerque",6300 Montano Rd NW,Albuquerque,87120.0,CHEEKS  WEEZY LLC,,
"6311 Lomas Blvd NE, Albuquerque 87111.0","6311 Lomas Blvd NE, Albuquerque",6311 Lomas Blvd NE,Albuquerque,87111.0,OCC ABQ LLC - Albuquerque,,
"637 broadway blvd se, Albuquerque 87102.0","637 broadway blvd se, Albuquerque",637 broadway blvd se,Albuquerque,87102.0,HONEYHOLE CANNABIS CO. LLC - BROADWAY BLVD SOUTHEAST RETAILER,,
"640 Coors Blvd SW, Albuquerque 87121.0","640 Coors Blvd SW, Albuquerque",640 Coors Blvd SW,Albuquerque,87121.0,CRESTVIEW LLC - COORS BLVD RETAIL,,
"6910 Central Ave SE, Albuquerque 87108.0","6910 Central Ave SE, Albuquerque",6910 Central Ave SE,Albuquerque,87108.0,SEVEN TEN LLC/ RETAIL CENTRAL AVE SE,,
"6919 Montgomery Blvd NE, Suite B, Albuquerque 87109.0","6919 Montgomery Blvd NE, Suite B, Albuquerque","6919 Montgomery Blvd NE, Suite B",Albuquerque,87109.0,RIO GRANDE FARMACEUTICALS LLC,,
"700 Avenida Dolores Huerta Ave, Albuquerque 87105.0","700 Avenida Dolores Huerta Ave, Albuquerque",700 Avenida Dolores Huerta Ave,Albuquerque,87105.0,"FROST STATION CANNABIS, LLC - AVENIDA DOLORES HUERTA AVENUE RETAILER",,
"7001 Menaul Blvd NE, Albuquerque 87110.0","7001 Menaul Blvd NE, Albuquerque",7001 Menaul Blvd NE,Albuquerque,87110.0,CHADCOR HOLDINGS NM- RETAIL - Albuquerque,,
"7001 Montgomery Blvd, Albuquerque 87109.0","7001 Montgomery Blvd, Albuquerque",7001 Montgomery Blvd,Albuquerque,87109.0,PUR LIFE RETAIL,,
"7016 2nd St. NW, Albuquerque 87107.0","7016 2nd St. NW, Albuquerque",7016 2nd St. NW,Albuquerque,87107.0,SEVEN CLOVER - Albuquerque,,
"7301 Central Ave NE, Albuquerque 87108.0","7301 Central Ave NE, Albuquerque",7301 Central Ave NE,Albuquerque,87108.0,BUDDIES FARMS LCC/ RETAIL CENTRAL AVE NE,,
"7301 San Antonio Drive NE, Albuquerque 87109.0","7301 San Antonio Drive NE, Albuquerque",7301 San Antonio Drive NE,Albuquerque,87109.0,THE VERDES FOUNDATION  SAN ANTONIO DRIVE RETAIL,,
"7401 Central Ave NE, Albuquerque 87108.0","7401 Central Ave NE, Albuquerque",7401 Central Ave NE,Albuquerque,87108.0,JOINT VENTURE CANNABIS LLC- OLD COORS RD RETAIL,,
"7401 Menaul Blvd. NE, Albuquerque 87110.0","7401 Menaul Blvd. NE, Albuquerque",7401 Menaul Blvd. NE,Albuquerque,87110.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  MENAUL BLVD RETAIL,,
"7601 San Pedro, Albuquerque 87109.0","7601 San Pedro, Albuquerque",7601 San Pedro,Albuquerque,87109.0,GH LLC - SAN PEDRO RETAIL,,
"7608 Menaul Blvd NE, Albuquerque 87110.0","7608 Menaul Blvd NE, Albuquerque",7608 Menaul Blvd NE,Albuquerque,87110.0,OCC ABQ LLC - Albuquerque,,
"7610 Carmel NE, Ste. B, Albuquerque 87122.0","7610 Carmel NE, Ste. B, Albuquerque","7610 Carmel NE, Ste. B",Albuquerque,87122.0,URBAN WELLNESS - CARMEL ROAD DISPENSARY,,
"7710 Menaul Blvd, Albuquerque 87110.0","7710 Menaul Blvd, Albuquerque",7710 Menaul Blvd,Albuquerque,87110.0,REEFER MADNESS LLC - MENAUL BLVD RETAIL,,
"806 Old Coors Drive SW, Albuquerque 87121.0","806 Old Coors Drive SW, Albuquerque",806 Old Coors Drive SW,Albuquerque,87121.0,SCORE 420 - OLD COORS DRIVE RETAILER,,
"8104 Wyoming, Albuquerque 87113.0","8104 Wyoming, Albuquerque",8104 Wyoming,Albuquerque,87113.0,NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  WYOMING RETAIL,,
"8110 Louisiana Blvd NE Suite D-1, Albuquerque 87113.0","8110 Louisiana Blvd NE Suite D-1, Albuquerque",8110 Louisiana Blvd NE Suite D-1,Albuquerque,87113.0,NM ALTITUDE LLC - LOUISIANA BLVD RETAIL,,
"8150 Paseo del Norte NE, Albuquerque 87109.0","8150 Paseo del Norte NE, Albuquerque",8150 Paseo del Norte NE,Albuquerque,87109.0,R. GREENLEAF ORGANICS - PASEO DEL NORTE NE RETAIL,,
"818 San Mateo Boulevard Southeast, Albuquerque 87108.0","818 San Mateo Boulevard Southeast, Albuquerque",818 San Mateo Boulevard Southeast,Albuquerque,87108.0,LOVES CANNABIS - Albuquerque,,
"8367 Corona Loop NE, Albuquerque 87113.0","8367 Corona Loop NE, Albuquerque",8367 Corona Loop NE,Albuquerque,87113.0,DREAMWEAVER LLC - CORONA LOOP RETAIL,,
"8508 Central Ave SE, Albuquerque 87108.0","8508 Central Ave SE, Albuquerque",8508 Central Ave SE,Albuquerque,87108.0,ES HOLDINGS LLC - CENTRAL RETAIL,,
"8512 Calle Alameda NE, Albuquerque 87113.0","8512 Calle Alameda NE, Albuquerque",8512 Calle Alameda NE,Albuquerque,87113.0,MULEZ - CALLE ALAMEDA RETAIL,,
"8521 Golf Course Rd NW, Albuquerque 87114.0","8521 Golf Course Rd NW, Albuquerque",8521 Golf Course Rd NW,Albuquerque,87114.0,PURLIFE- GOLF COURSE RD NW  RETAIL,,
"8521 Golf Course Rd. SW Ste A, Albuquerque 87114.0","8521 Golf Course Rd. SW Ste A, Albuquerque",8521 Golf Course Rd. SW Ste A,Albuquerque,87114.0,420GBG LLC - GOLF COURSE RETAIL,,
"8715 Central Ave NW, Albuquerque 87121.0","8715 Central Ave NW, Albuquerque",8715 Central Ave NW,Albuquerque,87121.0,BREAKING BUD DISPENSARY LLC - CENTRAL RETAIL,,
"8900 Central Ave SE, Albuquerque 87123.0","8900 Central Ave SE, Albuquerque",8900 Central Ave SE,Albuquerque,87123.0,ROUTE 66 SMOKE SHOP LLC / RETAIL RHODE ISLAND ST NE,,
"8917 Adams ST NE, Albuquerque 87113.0","8917 Adams ST NE, Albuquerque",8917 Adams ST NE,Albuquerque,87113.0,CARVER FAMILY FARM- RETAIL MICRO,,
"8920 Menaul Blvd NE, Albuquerque 87112.0","8920 Menaul Blvd NE, Albuquerque",8920 Menaul Blvd NE,Albuquerque,87112.0,THE GRASS STATION LLC - MENAUL BLVD NORTHEAST RETAILER,,
"9012 Central Ave SE, Albuquerque 87123.0","9012 Central Ave SE, Albuquerque",9012 Central Ave SE,Albuquerque,87123.0,NEW MEXICO DRIP LLC - CENTRAL AVE RETAIL,,
"904 Broadway NE St. A, Albuquerque 87102.0","904 Broadway NE St. A, Albuquerque",904 Broadway NE St. A,Albuquerque,87102.0,HF HOLDINGS LLC - GOLF COURSE RETAIL,,
"915 Yale SE, Albuquerque 87106.0","915 Yale SE, Albuquerque",915 Yale SE,Albuquerque,87106.0,MAMA AND THE GIRLS / RETAIL LAGUAYRA DR NE,,
"9237 4th St. NW, Albuquerque 87114.0","9237 4th St. NW, Albuquerque",9237 4th St. NW,Albuquerque,87114.0,EVEREST APOTHECARY - DISPENSARY,,
"9370 Coors Blvd NW Suite 600, Albuquerque 87114.0","9370 Coors Blvd NW Suite 600, Albuquerque",9370 Coors Blvd NW Suite 600,Albuquerque,87114.0,EQUILIBRIUM CANNABIS COMPANY LLC - COORS RETAIL,,
"9402 Indian School Rd NE, Albuquerque 87112.0","9402 Indian School Rd NE, Albuquerque",9402 Indian School Rd NE,Albuquerque,87112.0,A FARMER AND HIS DOG LLC-INDIAN SCHOOL RETAIL,,
"9635 Menaul Blvd NE, Albuquerque 87112.0","9635 Menaul Blvd NE, Albuquerque",9635 Menaul Blvd NE,Albuquerque,87112.0,FUEGO CANNABIS LLC - MENAUL BLVD RETAIL,,
"9800 Montgomery Blvd NE, Albuquerque 87110.0","9800 Montgomery Blvd NE, Albuquerque",9800 Montgomery Blvd NE,Albuquerque,87110.0,PURLIFE DISPENSARY - Albuquerque,,
"9821 Montgomery Blvd, Albuquerque 87111.0","9821 Montgomery Blvd, Albuquerque",9821 Montgomery Blvd,Albuquerque,87111.0,"R. GREENLEAF ORGANICS, INC.",,
"9880 Montgomery Blvd NE Ste C, Albuquerque 87111.0","9880 Montgomery Blvd NE Ste C, Albuquerque",9880 Montgomery Blvd NE Ste C,Albuquerque,87111.0,OCC ABQ LLC - MONTGOMERY BLVD NE RETAIL,,
"9901 Lomas Blvd NE, Albuquerque 87112.0","9901 Lomas Blvd NE, Albuquerque",9901 Lomas Blvd NE,Albuquerque,87112.0,ELEMENTS DISPENSARY LLC/ RETAIL LOMAS BLVD NE,,
