Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
FCI OF NEW MEXICO - LAS VEGAS RETAIL,1608 7th St,Las Vegas,NM,87701,"$15,842.60","$44,598.64","$60,441.24"
LTDM LLC - ISLETA BLVD RETAIL,468 Isleta Blvd SW,Albuquerque,NM,87105,"$6,342.71","$15,936.38","$22,279.09"
OVERGROWN LLC- RIO GRANDE BLVD RETAIL,1301 Rio Grande Blvd NW Ste 2,Albuquerque,NM,87104,"$4,408.96","$17,444.83","$21,853.79"
OCC ABQ LLC - RIO COMMUNITIES RETAIL,300 Rio Communities,Belen,NM,87002,"$48,221.26","$73,659.17","$121,880.43"
LALA LAND CANNABIS CO - EUBANK BLVD NORTHEAST RETAILER,337 Eubank BLVD NE,Albuquerque,NM,87123,"$8,487.32","$13,245.70","$21,733.02"
OCC ABQ LLC- N GRAND AVE,2201 N Grand Ave,Las Vegas,NM,87701,"$66,408.62","$93,986.78","$160,395.40"
HIGH LOADED FARMS LLC - BROADWAY BLVD RETAILER,637 Broadway Blvd SE Suite A,Albuquerque,NM,87102,"$6,910.20","$13,898.29","$20,808.49"
OFF GRID GROW COMPANY LLC - NM-434 RETAIL,11 Halo Pines Terrace,Angel Fire,NM,87110,"$10,295.99","$54,707.35","$65,003.34"
OHM ORGANICS LLC - CERRILLOS RD. RETAIL,3501 Cerrillos Rd,Santa Fe,NM,87507,"$4,264.47","$26,657.92","$30,922.39"
OLD GODS CANNABIS INC/ RETAIL APPALOOSA UNIT7,1541 Appaloosa Unit 7,Sunland Park,NM,88063,"$2,382.01","$125,245.71","$127,627.72"
ES HOLDINGS LLC - CENTRAL RETAIL,8508 Central Ave SE,Albuquerque,NM,87108,"$6,108.44","$13,938.23","$20,046.67"
ORGAN MOUNTAIN WELLNESS LLC - RETAIL,1590 E Lohman Ave,Las Cruces,NM,88001,"$4,079.40","$9,207.12","$13,286.52"
ORIGINAL CCO LLC,814 Silver Ave,Deming,NM,88030,"$1,887.91","$17,446","$19,333.91"
MAD HATTER GROW LLC - CENTRAL RETAIL,301 Central Ave NW,Albuquerque,NM,87102,"$2,432.30","$17,174.57","$19,606.87"
A NICE DREAM INC - EDITH RETAIL,2506 San Mateo Place,Albuquerque,NM,87110,"$18,617.13",$920.40,"$19,537.53"
PECOS VALLEY PRODUCTION INC - EUBANK RETAIL,121 Eubank NE Ste A,Albuquerque,NM,87123,"$7,103.73","$12,218.53","$19,322.26"
PECOS VALLEY PRODUCTION INC - 1ST ST RETAIL,501 S 1st St,Artesia,NM,88210,"$38,646.23","$130,037.60","$168,683.83"
H2H DISTRIBUTION LLC - SAN MATEO RETAILER,300 San Mateo Blvd SE,Albuquerque,NM,87108,"$2,954.61","$16,109.51","$19,064.12"
LOVES CANNABIS,818 San Mateo Boulevard Southeast,Albuquerque,NM,87108,"$3,621.13","$15,336.64","$18,957.77"
PECOS VALLEY PRODUCTION INC - APPALOOSA DR RETAIL,1925 Appaloosa Dr,Sunland Park,NM,88063,"$2,356.86","$43,233.47","$45,590.33"
PECOS VALLEY PRODUCTION INC - BROADWAY ST RETAIL,311 W Broadway St,Hobbs,NM,88240,"$6,383","$106,139.03","$112,522.03"
PECOS VALLEY PRODUCTION INC - CANAL ST RETAIL,812 N. Canal Street,Carlsbad,NM,88220,"$10,041.40","$40,548.22","$50,589.62"
PECOS VALLEY PRODUCTION INC - COUNTRY CLUB RETAIL,313 W Country Club,Roswell,NM,88201,"$13,573.41","$50,549.76","$64,123.17"
FCI OF NEW MEXICO - TAOS RETAIL,1128 Paseo del Pueblo Sur,Taos,NM,87571,"$10,302.86","$60,345.94","$70,648.80"
PECOS VALLEY PRODUCTION INC - LOCUST ST RETAIL,2460 Locust St Ste1,Las Cruces,NM,88001,"$14,191.77","$41,318.82","$55,510.59"
PECOS VALLEY PRODUCTION INC - LOVINGTON HWY RETAIL,2620 N Lovington Hwy,Hobbs,NM,88240,"$3,964.78","$36,076.29","$40,041.07"
PECOS VALLEY PRODUCTION INC - MAIN ST RETAIL,737 N Main St,Roswell,NM,88201,"$24,524.16","$101,606.50","$126,130.66"
PECOS VALLEY PRODUCTION INC - MERMOD ST RETAIL,810 W Mermod St,Carlsbad,NM,88220,"$26,345.49","$68,962.90","$95,308.39"
PECOS VALLEY PRODUCTION INC - N PRINCE ST RETAIL,4024 N Prince St Ste G,Clovis,NM,88101,"$26,239.98","$116,109.89","$142,349.87"
PECOS VALLEY PRODUCTION INC - OLD 66 HWY RETAIL,1942 Old 66 HWY,Edgewood,NM,87015,"$32,331.37","$97,029.21","$129,360.58"
PECOS VALLEY PRODUCTION INC - RETAIL NAVAJO,310 W Navajo Dr,Hobbs,NM,88240,"$14,418.38","$126,861.54","$141,279.92"
PECOS VALLEY PRODUCTION INC - ROADRUNNER PARKWAY RETAIL,"3050 Roadrunner Parkway, Ste A2",Las Cruces,NM,88011,"$25,444.29","$56,446.46","$81,890.75"
PECOS VALLEY PRODUCTION INC - RUIDOSO RETAIL,1000 Sudderth Drive,Ruidoso,NM,88345,"$11,228.49","$21,068.22","$32,296.71"
PECOS VALLEY PRODUCTION INC - WHITE SANDS RETAIL,300 N White Sands Blvd.,Alamogordo,NM,88310,"$17,990.09","$27,496.21","$45,486.30"
PHARMTRUE LLC,227 S Main St,Las Cruces,NM,88001,"$1,291.25",$902.36,"$2,193.61"
PHARMTRUE LLC - S VALLEY DR RETAILER,580 S Valley Dr Suite 300,Las Cruces,NM,88005,"$4,213.87","$18,133.26","$22,347.13"
PHARMTRUE LLC- 1685 N MAIN RETAIL,1685 N Main St,Las Cruces,NM,88001,"$3,838.75","$15,596.53","$19,435.28"
PHAT BOY PHARMS LLC,305 S. Bullard St.,Silver City,NM,88061,$200,"$2,219.16","$2,419.16"
PHENO PHARMS LLC - RUIDOSO RETAIL,"2631 Sudderth Dr, Ste B",Ruidoso,NM,88345,"$2,236.95","$10,348.63","$12,585.58"
PINOS ALTOS FARMS LLC,1101 Vado Rd,Vado,NM,88072,"$1,696.82","$23,469.20","$25,166.02"
PRESS LABS INCORPORATED - UNION AVE RETAIL,711 N Union Ave,Roswell,NM,88201,$305,$171,$476
PROCESS MANAGEMENT CONTROL - E GREENE RETAIL,3106 E Greene St,Carlsbad,NM,88220,"$5,615.83","$11,557.06","$17,172.89"
PROCESS MANAGEMENT CONTROL - LOVING RETAIL,11 El Lobo Road,Loving,NM,88256,"$1,735.61","$10,211.15","$11,946.76"
SEVEN TEN LLC/ RETAIL CENTRAL AVE SE,6910 Central Ave SE,Albuquerque,NM,87108,$688.74,"$17,691.09","$18,379.83"
PROHIBITION 37 - E HWY 66 RETAIL,1005 E. Hwy 66,Gallup,NM,87301,"$28,856.96","$190,213.81","$219,070.78"
PROHIBITION 37 - MANZANARES AVE RETAIL,103 Manzanares Ave,Socorro,NM,87801,"$11,160.89","$29,013.76","$40,174.65"
PROHIBITION 37 - MCNUTT RD RETAIL,871 McNutt Rd,Sunland Park,NM,88063,"$9,511.89","$93,454.87","$102,966.76"
PROHIBITION 37 - ROUTE 66 RETAIL,912 E Route 66 Blvd,Tucumcari,NM,88401,"$10,076.66","$28,013.30","$38,089.96"
PROHIBITION 37 - S. VALLEY DR RETAIL,1405 S. Valley Drive,Las Cruces,NM,88005,"$8,921.09","$22,154.22","$31,075.31"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  COORS BLVD RETAIL,"100 Coors Blvd., NW",Albuquerque,NM,87120,"$4,847.71","$13,479.44","$18,327.15"
PROHIBITION 37 - ST. FRANCIS DR RETAIL,1089 S. St. Francis Drive,Santa Fe,NM,87505,"$21,400.72","$59,774.06","$81,174.77"
PUEBLO OF POJOAQUE WO POVI CANNABIS,68 Cities of Gold Rd,Santa Fe,NM,87506,"$23,613.63","$74,806.52","$98,420.15"
HIGH TIDES DISPENSARY LLC - LOMAS RETAIL,5007 Lomas Blvd NE,Albuquerque,NM,87110,"$5,849.90","$12,101.34","$17,951.24"
FCI OF NEW MEXICO - CANAL ST RETAIL,2521 Canal St,Carlsbad,NM,88220,"$8,049.58","$76,576.42","$84,626"
PURLIFE - FOCH STREET RETAIL,203 S. Foch Street,Truth or Consequences,NM,87901,"$25,602.38","$33,813.91","$59,416.29"
PURLIFE - TELSHOR BLVD RETAIL,755 S Telshor Blvd.. Bldg A,Las Cruces,NM,88011,"$51,036.32","$72,321.46","$123,357.78"
THE GRASS STATION LLC - MENAUL BLVD NORTHEAST RETAILER,8920 Menaul Blvd NE,Albuquerque,NM,87112,"$3,164.11","$13,782.38","$16,946.49"
"PURLIFE - US-550 S, BERNALILLO",501 US-550 S,Bernalillo,NM,87004,"$30,324.06","$89,033.17","$119,357.23"
PURLIFE DISPENSARY,1000 Golf Course Rd SE,Rio Rancho,NM,87124,"$60,195.98","$183,558.24","$243,754.22"
PURLIFE DISPENSARY,123 N. White Sands Blvd,Alamogordo,NM,88310,"$36,965.30","$58,140.12","$95,105.42"
PAJARITO HEALING HERB LLC/ RETAIL ISLETA BLVD SW,6016 Isleta Blvd SW,Albuquerque,NM,87105,"$3,188.82","$13,435.24","$16,624.06"
PURLIFE DISPENSARY - CLOVIS,4101 North Prince St,Clovis,NM,88101,"$27,046.50","$130,863.31","$157,909.81"
PURLIFE DISPENSARY FARMINGTON,"3024 E. Main Street, Suite A.",Farmington,NM,87042,"$21,832","$54,660.08","$76,492.08"
PURLIFE RETAIL,301 N GRIMES ST,Hobbs,NM,88240,"$7,937.82","$142,942.11","$150,879.93"
PURLIFE RETAIL,325 S MAIN ST,Roswell,NM,88203,"$20,104.54","$61,292.05","$81,396.59"
TROPICS B LLC-EUBANK BLVD RETAIL/CONS,2308 Eubank BLVD,Albuquerque,NM,87112,"$9,078.87","$7,423.33","$16,502.20"
SMOKIN JOES LLC - YALE RETAIL,300 Yale Blvd SE,Albuquerque,NM,87106,"$4,217.11","$11,943.56","$16,160.67"
PURLIFE/ RETAIL CERRILLOS RD STE L,3140 Cerrillos Rd Ste L,Santa Fe,NM,87507,"$44,958.08","$136,498.96","$181,457.04"
QUEEN BEES COLLECTIVE LLC - SOLANO RETAIL,600 S Solano,Las Cruces,NM,88001,"$2,058",$888.02,"$2,946.02"
R GREEN LEAF ORGANICS INC/ RETAIL US 550,242 US-550,Bernalillo,NM,87004,"$17,504.18","$45,580.68","$63,084.86"
R GREENLEAF ORGANICS INC - EVERYDAY WEED FARMINGTON RTLR,4000 E Main St,Farmington,NM,87402,"$24,322.59","$104,359.43","$128,682.02"
"R GREENLEAF ORGANICS INC/ RETAIL APPALOOSA UNIT 1,2","1541 Appaloosas Unit 1, 2, Crossing Offices",Sunland Park,NM,88063,"$5,826.97","$93,883.90","$99,710.87"
R R HEMPIRE LLC - ANGELINA BLVD RETAIL,101 Angelina Blvd,Chaparral,NM,88081,$143.70,"$8,374.46","$8,518.16"
R. GREENLEAF ORGANICS,2235-2245 Main St SE,Los Lunas,NM,87031,"$36,361.03","$80,024.13","$116,385.16"
CANNAEXPRESS INC - JUAN TABO RETAIL,1416 Juan Tabo Blvd NE,Albuquerque,NM,87112,"$4,731.82","$11,321.91","$16,053.73"
BUDDIES FARMS LCC/ RETAIL CENTRAL AVE NE,7301 Central Ave NE,Albuquerque,NM,87108,"$1,659.03","$12,847.96","$14,506.99"
SCORE 420- 4TH ST NW RETAIL,4603 4th St NW,Albuquerque,NM,87107,"$3,896.77","$10,412.29","$14,309.06"
CLOUDWALKER FARM LLC - ABIQUIU RETAIL,1629 4th St NW,Albuquerque,NM,87102,"$3,495","$10,254","$13,749"
505 FARMS ABQ LLC - LOMAS BLVD RETAIL,5401 Lomas Blvd Ste A,Albuquerque,NM,87110,"$2,904.99","$10,214.95","$13,119.94"
FOGO NA BOMBA - 3RD ST RETAIL,212 3rd St SW,Albuquerque,NM,87102,"$1,493.29","$11,472.39","$12,965.68"
R. GREENLEAF ORGANICS DISPENSARY GRANTS,899 East Roosevelt,Grants,NM,87020,"$40,759.55","$101,091.12","$141,850.67"
R. GREENLEAF ORGANICS DISPENSARY LAS VEGAS,615 E. Lincoln St,Las Vegas,NM,87701,"$47,184.16","$87,108.47","$134,292.63"
R. GREENLEAF ORGANICS DISPENSARY ROSWELL,4311 N. Main Street,Roswell,NM,88201,"$18,026.52","$41,184.43","$59,210.95"
R. GREENLEAF ORGANICS DISPENSARY SANTA FE,403 W. Cordova Rd,Santa Fe,NM,87505,"$33,068.77","$96,032.96","$129,101.73"
R. GREENLEAF ORGANICS INC - CAMINO REAL RETAIL,1901 W. Joe Harvey Blvd. Suite 130,Hobbs,NM,88240,"$8,648.15","$97,547.99","$106,196.14"
R. GREENLEAF ORGANICS INC - CLOVIS RETAIL,2009 Ross,Clovis,NM,88101,"$38,849.75","$133,032.72","$171,882.47"
R. GREENLEAF ORGANICS INC - PIERCE ST RETAIL,800  800 1/2 W Pierce St,Carlsbad,NM,88220,"$38,922.59","$156,507.20","$195,429.79"
R. GREENLEAF ORGANICS INC - SUDDERTH RETAIL,360 Sudderth,Ruidoso,NM,88345,"$12,635.97","$52,313.94","$64,949.91"
R. GREENLEAF ORGANICS INC - TELSHOR RETAIL,775 S Telshor,Las Cruces,NM,88011,"$39,892.34","$69,639.53","$109,531.87"
R. GREENLEAF ORGANICS INC - WHITE SANDS BLVD RETAIL,101 N White Sands Blvd,Alamogordo,NM,88310,"$25,616.89","$57,596.99","$83,213.88"
ROAD RUNNER ORGANICS LLC - SAN MATEO BLVD RETAIL,4602 Lomas Blvd NE,Albuquerque,NM,87110,"$4,293","$8,582.37","$12,875.37"
MAD HATTER GROW LLC - SAN MATEO BLVD RETAIL,301 Central Ave NW,Albuquerque,NM,87101,"$2,403.96","$10,367.04","$12,771"
CANNABIS INSTITUTE OF AMERICA - MONTE VISTA RTLR,2937 monte Vista Blvd ne,Albuquerque,NM,87106,"$1,703.75","$10,965.07","$12,668.82"
RH AND MC LLC - MILLER ST RETAIL,103 Miller St,Anthony,NM,88021,"$5,323.53","$18,972.40","$24,295.93"
RICARDO O WILSON - IDAHO RETAIL,1886 W Picacho Ave,Las Cruces,NM,88005,"$15,043","$26,701.81","$41,744.81"
RIDANKULOUS CO/ RETAIL N WHITE SANDS BLVD,918 N White Sands Blvd,Alamogordo,NM,88310,"$42,885.64","$69,289.99","$112,175.63"
BUDDER PROS LLC - COORS BLVD RETAIL,3250 Coors Blvd NW Suite A,Albuquerque,NM,87120,"$4,849.67","$7,583.74","$12,433.41"
"RMC NM, INC - ANTHONY RETAIL",138 Anthony Dr,Anthony,NM,88021,"$14,852.58","$82,389.12","$97,241.70"
"RMC NM, INC - CLAYTON RETAIL",106 S First St,Clayton,NM,88415,"$3,909.50","$91,382.34","$95,291.84"
"RMC NM, INC - CLOVIS RETAIL",1300 White Sands Blvd,Alamogordo,NM,88310,"$8,772.11","$29,270.36","$38,042.47"
"RMC NM, INC - GALLUP RETAIL",1121 US 491,Gallup,NM,87301,"$7,133.06","$103,374.57","$110,507.63"
"RMC NM, INC - SANTA FE",121 Sandoval St,Santa Fe,NM,87501,"$13,673.70","$75,013.45","$88,687.15"
"RMC NM, INC - SILVER CITY RETAIL",1628 Silver Heights Blvd,Silver City,NM,88061,"$34,852.86","$99,516.31","$134,369.17"
"RMC NM, INC - T OR C RETAIL",280 Date St,Truth or Consequences,NM,87901,"$27,218.86","$56,714.54","$83,933.40"
"RMC NM, INC - TAOS",101 Camino De La Placita,Taos,NM,87571,"$10,839.48","$81,807.81","$92,647.29"
"RMC NM, INC - TUCUMCARI BLVD RETAIL",605 W Tucumcari Blvd,Tucumcari,NM,88401,"$5,910.42","$19,048.43","$24,958.85"
ROAD RUNNER ORGANICS LLC - CALIFORNIA ST RETAIL,202 S California St Ste A,Socorro,NM,87801,$708.51,"$1,923.06","$2,631.57"
CASACANNA LLC - YALE BLVD RETAILER,416 Yale Blvd SE Suite B,Albuquerque,NM,87106,"$1,479.52","$10,280.61","$11,760.13"
ROAD RUNNER ORGANICS/ RETAIL HWY 47,3524 Hwy 47,Peralta,NM,87042,"$7,976.73","$24,724.52","$32,701.25"
ROAD RUNNER PHARMS - HWY 550 RETAIL,980 Highway 550,Bernalillo,NM,87004,"$1,808.84","$6,926.06","$8,734.90"
ROADRUNNER CANNABIS CO LLC,218 WhiteSands,Alamogordo,NM,88310,"$19,548.86","$34,413.72","$53,962.58"
ROADRUNNER GREENS LLC - N GRIMES RETAIL,4401 N Grimes Ste 300,Hobbs,NM,88240,"$18,425.28","$69,924.20","$88,349.48"
ROADRUNNER RETAIL,2 Marietta Ct Ste B,Edgewood,NM,87015,"$22,780.56","$37,425.80","$60,206.36"
ROLLIN LOVE LLC - 7TH ST RETAIL,2410 7th St,Las Vegas,NM,87701,"$20,147.96","$30,354.87","$50,502.83"
ROOTS DISPENSARY LLC/ RETAIL,320 N Main St,Belen,NM,87002,"$4,796.48","$12,044.33","$16,840.81"
"ROUND HOUSE RESERVE, LLC - MCNUTT DR RETAIL",1165 McNutt Dr Unit C5,Sunland Park,NM,88063,"$1,281.67","$9,459.37","$10,741.04"
"ROUND HOUSE RESERVE, LLC - SOLANO RETAIL",200 S Solano Ste 3,Las Cruces,NM,88001,"$9,667.47","$11,301.27","$20,968.74"
FIREFLOWER LLC - SAN PEDRO RETAIL,214 San Pedro Dr. NE,Albuquerque,NM,87108,"$4,162.41","$7,068.35","$11,230.76"
ROYAL CANNABIS LLC - AMADOR RETAIL,2702  West Amador Suite B-2,Las Cruces,NM,88005,"$16,001.76","$45,515.58","$61,517.34"
ROYAL HIGHNESS LLC - CAMINO DEL PUEBLO RETAIL,413 S Camino Del Pueblo,Bernalillo,NM,87004,"$8,354.94","$27,876.37","$36,231.31"
BAKED BUDS LLC - VASSAR RETAIL,3400 Vassar Dr NE,Albuquerque,NM,87107,"$4,492.88","$6,728.15","$11,221.03"
S  H GREEN LIFE - PECAN DR RETAIL,2010 Pecan Dr,Alamogordo,NM,88310,"$12,527.46","$27,278.83","$39,806.29"
SANDD INC - CAMINO DEL PUEBLO RETAIL,848 S Camino Del Pueblo,Bernalillo,NM,87004,"$1,910.69","$5,748.53","$7,659.22"
SANDIA BOTANICALS,2517 Main St,Las Cruces,NM,87107,"$12,781.60","$21,683.10","$34,464.70"
SANGRE DE CRISTO RETAIL LLC - EMMA RD RETAILER,110 Emma Road,Taos Ski Valley,NM,87525,"$1,041.87","$7,800.05","$8,841.92"
SANGRE DE CRISTO RETAIL LLC - TAOS RETAILER,216A Paseo Del Pueblo Sur,Taos,NM,87571,"$22,009.62","$97,340.98","$119,350.60"
SCORE 420 - 2107 CENTRAL RETAIL,2821 N Telshor Blvd,Las Cruces,NM,88011,"$23,083.38","$75,225.95","$98,309.33"
SCORE 420 - BENDER BLVD RETAIL,927 E Bender Blvd,Hobbs,NM,88240,"$15,188.50","$137,132.35","$152,320.85"
DULCE CANNABIS,2000 Carlisle Blvd NE Suite B,Albuquerque,NM,87110,"$1,448.38","$9,614.24","$11,062.62"
FLY HIGH NEW MEXICO LLC - LOUISIANA BLVD RETAIL,509 Louisiana Blvd SE,Albuquerque,NM,87108,"$2,147.57","$8,431.73","$10,579.30"
SCORE 420 - E MAIN FARMINGTON RETAIL,3150 E Main St,Farmington,NM,87402,"$9,137.99","$63,445.94","$72,583.93"
SCORE 420 - HWY 66 RETAILER,1703 W. HWY 66,Gallup,NM,87301,"$1,535.16","$13,704.61","$15,239.77"
SCORE 420 - MCNUTT RETAIL,2355 McNutt Road,Sunland Park,NM,88063,"$4,596.80","$59,032.70","$63,629.50"
FCI OF NEW MEXICO - GALLUP RETAIL,1379 US-491,Gallup,NM,87301,"$4,277.48","$87,861.42","$92,138.90"
SCORE 420 - WHITE SANDS BLVD RETAIL,805 N White Sands Blvd Ste D,Alamogordo,NM,88310,"$34,258.31","$86,669.85","$120,928.16"
GENERATION HEALTH NM,7601 San Pedro,Albuquerque,NM,87109,"$2,498.25","$7,526.68","$10,024.93"
SCORE 420- E SUMNER AVE RETAIL,213 E Sumner Ave,Fort Sumner,NM,88119,"$3,006.34","$16,767.71","$19,774.05"
SCORE 420- PRINCE RETAIL,2905 North Prince Street,Clovis,NM,88101,"$11,303.16","$39,919.61","$51,222.77"
GALLEGOS  RHODES ENTERPRISES LLC,2325 San Pedro Drive Northeast,Albuquerque,NM,87110,"$1,485.23","$8,279.37","$9,764.60"
SERRANO SPRINGS LLC - 17TH ST. RETAIL,401 North 17th St. Suite 8,Las Cruces,NM,88005,"$3,183.60","$6,109.53","$9,293.13"
NEW MEXICO TOP ORGANICS ULTRA HEALTH INC  MENAUL BLVD RETAIL,7401 Menaul Blvd. NE,Albuquerque,NM,87110,"$5,010.88","$3,704.76","$8,715.64"
SFCC LLC - CERRILLOS RETAIL,607 Cerrillos Rd Suite A,Santa Fe,NM,87505,"$29,553.55","$96,280.27","$125,833.82"
SMOKAL SMOKE LOCAL - BECKER AVE RETAIL,212 Becker Ave,Belen,NM,87002,"$43,164.13","$60,920.79","$104,084.92"
SMOKAL SMOKE LOCAL - CALIFORNIA ST RETAIL,402 S California St,Socorro,NM,87801,"$33,346.16","$55,838.45","$89,184.61"
THE GREENS DISPENSARY,2639 San Mateo Blvd,Albuquerque,NM,87110,"$2,652.61","$5,753.70","$8,406.31"
SMOKE N BODY JEWELRY LLC/ RETAIL 7TH ST,1822 7th St,Las Vegas,NM,87701,"$9,579.41","$26,382.64","$35,962.05"
SMOKEAZY LLC- W MAIN ST. RETAIL,115 W Main ST.,Farmington,NM,87401,,"$11,277.17","$11,277.17"
MJ ALTA VIDA PRODUCTS LLC-3100 SAN MATEO RETAIL,3100 Suite B San Mateo Blvd,Albuquerque,NM,87110,"$2,241.58","$5,987.22","$8,228.80"
SMOKING CROW CANNABIS COMPANY - STATE HWY 434 RETAIL,195 State Hwy 518,Mora,NM,87732,"$2,426.76","$13,401.10","$15,827.86"
SPIDER LLC-WHITESANDS BLVD RETAILER,707 A N Whitesands Blvd,Alamogordo,NM,88310,"$6,195.88","$21,953.28","$28,149.16"
ST CANAPA LLC - MCNUTT RD RETAIL,5305 McNutt Rd,Santa Teresa,NM,88008,$814.81,"$14,061.56","$14,876.37"
ST CANAPA LLC - SUDDERTH DR RETAIL,1608 Sudderth Dr,Ruidoso,NM,88345,"$2,167.51","$20,403.01","$22,570.52"
STATELINE CANNABIS NM LLC - ARCH ANGEL WAY RETAILER/CONSUMPTION,100 Arch Angel Way,Chaparral,NM,88081,"$2,564.77","$183,410.07","$185,974.84"
STATELINE CANNABIS NM LLC-STEPHANIE RETAIL/CONS,101 Stephanie,Chaparral,NM,880081,"$1,151.69","$29,297.27","$30,448.96"
STEPHEN LIN HAYDEN,1144 S Second St,Raton,NM,87740,"$5,996.79","$104,860.44","$110,857.23"
STEVOS SANTA FE TRUCK STOP-NM HWY 1 RETAIL,496 NM Hwy 1,Socorro,NM,87801,,$579.52,$579.52
STONE CENTRAL CANNABIS LLC - RT 66 RETAIL,2015 US Rt 66 West Ste 1,Moriarty,NM,87035,"$5,076.75","$18,221.05","$23,297.80"
STONED APE CANNA CO - PIERCE RETAIL,1101 W. Pierce St.,Carlsbad,NM,88220,"$53,182.04","$78,904.97","$132,087.01"
SUNLAND MCNUTT GROUP LLC- MCNUTT RD RETAIL,1051 McNutt Rd,Sunland Park,NM,88063,"$32,070.28","$890,310.56","$922,380.84"
SUNSHINE ESSENTIALS/ RETAIL MCNUTT,267 Anapra Rd,Sunland Park,NM,88063,$818.01,"$3,193.85","$4,011.86"
THE NATURAL SOURCE LLC,2829 San Mateo Blvd NE,Albuquerque,NM,87110,"$4,002.29","$4,211.74","$8,214.03"
"SWEET LEAF ORGANICS, LLC WEST 2ND STREET RETAILER",1429 South Avenue D,Portales,NM,88130,"$11,416.13","$18,461.96","$29,878.09"
GREEN CENTRAL STATION RETAIL MENAUL,2117 Menaul Blvd NE Suite A,Albuquerque,NM,87107,"$1,507","$5,510.10","$7,017.10"
EQUILIBRIUM CANNABIS COMPANY LLC - COORS RETAIL,9370 Coors Blvd NW Suite 600,Albuquerque,NM,87114,$879.49,"$5,835.55","$6,715.04"
"TAKE TWO, LLC",107 E. Washington Ave,Lovington,NM,88260,"$1,929.66","$8,300.32","$10,229.98"
TAOS 420 CANNABIS  COFFEE LLC - TAOS RETAIL,1103 Paseo Del Pueblo Sur,Taos,NM,87571,"$4,125.68","$24,376.08","$28,501.76"
TAOS 420 CANNABIS  COFFEE LLC - TUCUMCARI RETAIL,1801 South Mountain Rd,Tucumcari,NM,88401,"$3,543.19","$70,269.58","$73,812.77"
"TAOS MOUNTAIN GROWN, LLC - NM 150 RETAIL",14 NM 150,El Prado,NM,87529,"$11,819.17","$55,517.82","$67,336.99"
TAOS ORGANICS LLC - HWY 522 RETAIL,2339 Highway 522,Questa,NM,87556,"$3,368.50","$26,729.89","$30,098.39"
TATUM HOUSE OF CANNA LLC,124 E Broadway St,Tatum,NM,88267,$307.10,"$21,579.74","$21,886.84"
TDG LLC / TULAROSA DRY GOODS,308 Granado Street,Tularosa,NM,88352,,"$4,984.96","$4,984.96"
THE ALCHEMIST LLC - MAIN ST RETAIL,663 W MAIN ST,Farmington,NM,87401,"$1,684.88","$7,531.77","$9,216.65"
THE BLAZING YUCCA LLC.- STATE HWY 80 RETAIL,"199 State Highway 80, Suite B",Rodeo,NM,88056,$87.85,"$6,377.53","$6,465.38"
THE CANNA COMPANY,115 N Silver Ave,Deming,NM,88030,"$10,522.95","$31,975.88","$42,498.83"
THE CANNABIS STORE- CANAL ST RETAIL,516. Canal St,Carlsbad,NM,88220,"$5,812.64","$36,438.04","$42,250.68"
THE GRASS STATION LLC - MAIN ST RETAIL,928 E Main St Bldg C,Farmington,NM,87401,"$10,236.05","$69,253.69","$79,489.74"
PAR 4 LLC/ RETAIL 4TH STREET SW,1015 4th Street SW,Albuquerque,NM,87102,"$1,107.56","$5,076","$6,183.56"
THE GRATEFUL LLAMA LLC- NORTH HIGHWAY 14 RTLR,12202 North Highway 14,Cedar Crest,NM,87008,"$3,284.86","$9,449.12","$12,733.98"
THE GREEN GENIE LLC - FIRST ST. RETAIL,303 N. 1st St,Clayton,NM,88415,$958.90,"$31,246.48","$32,205.38"
GRASSROOTS RX GRANTS LLC DISPENSARY ALBUQUERQUE/ CONSUMPTION AREA,3620 Bosque Plaza Lane NW,Albuquerque,NM,87120,"$1,460.33","$4,654","$6,114.33"
"THE HERBAL CLUB, LLC",1700 Juniper Dr,Milan,NM,87021,"$1,771","$34,151","$35,922"
"THE LOUD HOUSE, INC. - S. MILLER RETAIL",206 S. Miller Ave.,Farmington,NM,87401,$415.61,"$4,676.89","$5,092.50"
THE MATCHBOX LLC - THORPE RETAIL,641 Thorpe Rd.,Las Cruces,NM,88007,"$35,941.74","$110,086.08","$146,027.82"
ONESTOPSMOKESHOPVAPERACCESSORIES - SAN PEDRO RETAIL,1713 San Pedro Dr NE,Albuquerque,NM,87110,"$1,432.64","$3,984.12","$5,416.76"
AFICIONADO CANNABIS INC - HAINES RETAIL,11 Haines Ave NW,Albuquerque,NM,87102,$970.20,"$3,693.16","$4,663.36"
THE REEF JOINT LLC - 20TH ST RETAIL,3000 E 20th St,Farmington,NM,87402,"$2,122.92","$23,034.47","$25,157.39"
IMPACT FARMS LLC - SAN MATEO BLVD RETAILER,"3701 San Mateo Blvd NE, Suite G",Albuquerque,NM,87110,"$1,630.19","$2,739.46","$4,369.65"
THE VERDES FOUNDATION  GRANDE BLVD RETAIL,2320 Grande Blvd. SE,Rio Rancho,NM,87124,"$147,375.50","$169,084","$316,459.50"
ENCHANTED LEAF NM - LOUISIANA RETAIL,400 Louisiana SE,Albuquerque,NM,87108,$899.77,"$3,141.33","$4,041.10"
