Licensee,Address,City,State,Zip,Medical Sales,Adult-Use Sales,Total Sales
DISPENSARY NEAR ME RUFINA LLC- SUDDERTH RETAIL,1803 Sudderth,Ruidoso,NM,88345,"$13,716.91","$35,904","$49,620.91"
DISPENSARY NEAR ME SOCORRO LLC,124 B Manzanares Ave,Socorro,NM,87801,"$11,887.16","$30,718.96","$42,606.12"
DISPENSARY NEAR ME SUNLAND PARK LLC- MCNUTT RETAIL/CONSUMPTION,1290 McNutt Rd,Sunland Park,NM,88063,"$4,151.24","$58,475.03","$62,626.27"
DISPENSARY NEAR ME-MANUFACTURER,2384 NM 47,Belen,NM,87002,$39.57,,$39.57
ANIMACANN INC - RIO BRAVO BLVD RETAIL,1698 Rio Bravo Blvd SW Ste B,Albuquerque,NM,87105,"$21,535.08","$83,184.35","$104,719.43"
DISPENSARY NEAR ME/ RETAIL NM47,2384 NM 47,Belen,NM,87002,"$18,430.22","$44,868.35","$63,298.57"
DON VERDE LLC - WEST PICACHO AVENUE RETAILER,3514 W Picacho Ave,Las Cruces,NM,88007,$46,$666.86,$712.86
DR GREEN ORGANICS - MAIN ST RETAIL,5555 S Main St,Mesilla Park,NM,88047,"$3,382.10","$11,370.56","$14,752.66"
DR VS MOUNTAIN MEDS LLC - HWY 550 RETAIL,23347 Hwy 550,San Ysidro,NM,87053,$879.86,"$9,636.63","$10,516.49"
PUR LIFE RETAIL,7001 Montgomery Blvd,Albuquerque,NM,87109,"$29,597.74","$75,036.56","$104,634.30"
DUKE FAMILY LLC - SUDDERTH DR. CONSUMPTION AND RETAIL,26897 US-70,Ruidoso Downs,NM,88345,"$1,121.24","$10,302.49","$11,423.73"
TAFOYA FARMS LLC-ELLISON DR RETAIL,3700 Ellison Dr NW Ste E-2,Albuquerque,NM,87114,"$26,582.12","$77,410.88","$103,993"
EARL AND TOM LLC - MAIN ST RETAIL,106 S Main St,Clovis,NM,88101,"$9,975.16","$73,157.07","$83,132.23"
EARL AND TOM LLC - NORTH PRINCE STREET RETAILER,3211 N Prince St,Clovis,NM,88101,"$7,893.75","$27,052.83","$34,946.58"
R. GREENLEAF ORGANICS,110 Yale SE,Albuquerque,NM,87106,"$23,765.51","$77,474.09","$101,239.60"
EFFY EXOTICS LLC - 1408 BLACK ST RETAIL,1408 Black St,Alamogordo,NM,88310,"$29,919.12","$29,334.07","$59,253.20"
EFFY EXOTICS LLC - PICACHO RETAIL,2153 W Picacho Ave,Las Cruces,NM,88007,"$36,048.64","$57,960.05","$94,008.69"
"EL LUMBRE FARMS, LLC - HWY 82 RETAIL",215 Highway 82,Alamogordo,NM,88310,"$1,867.98","$10,659.65","$12,527.63"
"PURLIFE - UNIV AVE, LC",4000 Menaul Blvd NE,Albuquerque,NM,87110,"$31,410.09","$66,045.36","$97,455.45"
ELEVATION 6420 LLC - MECHEM DR - RETAIL,101 Mechem Dr,Ruidoso,NM,88345,"$23,457.81","$53,902.75","$77,360.56"
ELEVATION 6969 LLC/ RETAIL BENDIX ST UNIT E,212 Bendix St Unit E,Taos,NM,87571,"$25,299.84","$44,222.13","$69,521.97"
ELKHORN RETAIL LLC - 1205 RIVERSIDE RETAIL,1205 N Riverside Dr,Espanola,NM,87532,"$15,975.94","$45,034.08","$61,010.02"
R. GREENLEAF ORGANICS - PASEO DEL NORTE NE RETAIL,8150 Paseo del Norte NE,Albuquerque,NM,87109,"$24,123.82","$73,292.74","$97,416.56"
ELKHORN RETAIL LLC/ RETAIL CERRILLOS ROAD,1829 Cerrillos Road,Santa Fe,NM,87505,"$11,873.11","$35,273.76","$47,146.87"
ELKHORN RETAIL LLC/ RETAIL N GUADALUPE,604 N Guadalupe,Santa Fe,NM,87501,"$12,265.07","$36,738.13","$49,003.20"
ELKHORN RETAIL LLC/ RETAIL OLD SANTA FE TRAIL,507 Old Santa Fe Trail,Santa Fe,NM,87505,"$2,885.48","$14,490.57","$17,376.05"
ELKHORN RETAIL LLC/ RETAIL PASEO DEL SUR SUITE A,1033 Paseo Del Sur Suite A,Taos,NM,87571,"$10,771.68","$40,752.30","$51,523.98"
URBAN WELLNESS - CARMEL ROAD DISPENSARY,"7610 Carmel NE, Ste. B",Albuquerque,NM,87122,"$27,912.77","$68,147.44","$96,060.21"
AMNESIA DISPENSARY  ACCESSORIES - ISLETA BLVD RETAIL,2035 Isleta Blvd SW Ste 1,Albuquerque,NM,87105,"$18,081.50","$77,619.74","$95,701.24"
ENCHANTED CALICO,301 Central Avenue,Tularosa,NM,88352,$157.85,"$1,811.66","$1,969.51"
ENCHANTED DESERT FARMS LLC,1301 S Avenue D,Portales,NM,88130,"$11,226.36","$12,009.19","$23,235.56"
FLY HIGH NEW MEXICO LLC- RETAIL SAN MATEO BLVD NE STE C,4001 San Mateo Blvd NE Ste C,Albuquerque,NM,87110,"$21,594.17","$69,820.98","$91,415.15"
ENCHANTMENT GROWTH CO,714 S Commerce,Jal,NM,88252,$605,"$11,084.08","$11,689.08"
ENDO LLC - RETAIL,2903 Agua Fria St,Santa Fe,NM,87507,"$44,418","$53,184","$97,602"
BREAKING BUD DISPENSARY LLC - CENTRAL RETAIL,8715 Central Ave NW,Albuquerque,NM,87121,"$36,768.50","$53,972.16","$90,740.66"
ERIKA JANETH NAJERA - EAST PINE STREET RETAILER,118 E Pine St,Deming,NM,88030,$337.20,"$2,380.35","$2,717.55"
